Obs;Active Alarms;Name;Type;Subtype;Intersection;Area;Last Update;Operation mode;Active plan;Info
healthy;;13.11 P;RSMP;;Helsinkigade/Southamptongade;AG13;Sep 2, 2025 1:03:38 PM;ON / Control;PL02/Unknown;ITC-3
attention;Lamp error;13.12;RSMP;;Orientkaj/Det GrÃ¸nne Loop;AG13;Sep 2, 2025 1:01:31 PM;ON / Control;PL01/Unknown;ITC-3/N
informational;;14.01;EC-2 Nordic;;Lyngbyvej/Emdrupvej;AG14;Sep 2, 2025 12:49:19 PM;ON / Control;PL02/Calendar;EC1+
attention;;14.02;EC-2 Nordic;;Lyngbyvej/Ryparken Station;AG14;Sep 2, 2025 12:46:39 PM;ON / Control;PL04/Calendar;EC1+
attention;Hardware error;14.03;RSMP;;Hans Knudsens Plads;AG14;Sep 2, 2025 1:00:43 PM;ON / Control;PL03/Unknown;ITC_3/N
healthy;;14.04;EC-2 Nordic;;Lyngbyvej/Haraldsgade;AG14;Sep 2, 2025 1:05:31 PM;ON / Control;PL03/Calendar;EC-2 B-prio
attention;Lamp error;14.06;EC-2 Nordic;;Vibenshus Runddel;AG14;Sep 2, 2025 1:02:36 PM;ON / Control;PL03/Calendar;EC-2 A-prio
healthy;;14.08;EC-2 Nordic;;NÃ¸rre AllÃ©/Universitetsparken;AG14;Sep 2, 2025 1:02:19 PM;ON / Control;PL03/Calendar;EC-2 B-prio
healthy;;14.10;EC-2 Nordic;;NÃ¸rre AllÃ©/Universitetet;AG14;Sep 2, 2025 1:05:31 PM;ON / Control;PL03/Calendar;EC-2 C-prio
off;System Alarms;14.11;RSMP;;Ã˜ster AllÃ©/Edel Sauntes AllÃ©;AG14;Jun 25, 2025 7:54:47 AM;Unknown / Unknown;PL-1/Unknown;ITC-2
healthy;;15.01;EC-2 Nordic;;LersÃ¸ ParkallÃ©/Jagtvej;AG15;Sep 2, 2025 12:59:11 PM;ON / Control;PL03/Calendar;EC-2 C-prio
attention;Lamp error;15.03 ;EC-2 Nordic;;Haraldsgade/Vermundsgade;AG15;Sep 2, 2025 12:47:15 PM;ON / Control;PL03/Calendar;
healthy;;15.04;EC-2 Nordic;;LersÃ¸ Parkalle/Aldersrogade;AG15;Sep 2, 2025 12:47:40 PM;ON / Control;PL03/Calendar;EC1+ C-prio
attention;;15.05 ;EC-2 Nordic;;LersÃ¸ ParkallÃ©/Haraldsgade;AG15;Sep 2, 2025 12:50:52 PM;ON / Control;PL03/Calendar;
attention;Lamp error;15.06 ;EC-2 Nordic;;LersÃ¸ ParkallÃ©/StrÃ¸damsvej;AG15;Sep 2, 2025 1:05:44 PM;ON / Control;PL03/Calendar;EC1+
healthy;;15.07 ;EC-2 Nordic;;LersÃ¸ ParkallÃ©/Gribskovvej;AG15;Sep 2, 2025 1:03:21 PM;ON / Control;PL03/Calendar;
attention;Lamp error;15.08 ;EC-2 Nordic;;Tuborgvej/Bispebjergvej;AG15;Sep 2, 2025 12:46:38 PM;ON / Control;PL03/Calendar;EC1+
attention;;15.09 ;EC-2 Nordic;;Tuborgvej/LersÃ¸ ParkallÃ©;AG15;Sep 2, 2025 12:47:38 PM;ON / Control;PL03/Calendar;
attention;Lamp error;15.10 ;EC-2 Nordic;;Tuborgvej/Emdrupvej;AG15;Sep 2, 2025 12:46:51 PM;ON / Control;PL03/Calendar;
informational;;15.11;EC-2 Nordic;;Tuborgvej/Vestre LÃ¦ngdevej;AG15;Sep 2, 2025 1:04:41 PM;ON / Control;PL04/Calendar;
healthy;;16.01;EC-2 Nordic;;Jagtvej/Mimersgade;AG16;Sep 2, 2025 1:05:10 PM;ON / Control;PL03/Calendar;
attention;Detector error;16.04;EC-2 Nordic;;Rovsinggade/Vermundsgade;AG16;Sep 2, 2025 1:05:46 PM;ON / Control;PL01/Calendar;
attention;Lamp error;16.05;EC-2 Nordic;;Tagensvej/Jagtvej;AG16;Sep 2, 2025 12:46:37 PM;ON / Control;PL03/Calendar;
healthy;;16.06;EC-2 Nordic;;Tagensvej/RÃ¥dmandsgade;AG16;Sep 2, 2025 12:48:16 PM;ON / Control;PL03/Calendar;
attention;Lamp error;16.07 ;EC-2 Nordic;;Tagensvej/Haraldsgade;AG16;Sep 2, 2025 12:50:51 PM;ON / Control;PL03/Calendar;
healthy;;16.08;EC-2 Nordic;;Tagensvej/Rovsinggade;AG16;Sep 2, 2025 1:05:46 PM;ON / Control;PL02/Calendar;
attention;;16.09;EC-2 Nordic;;Tagensvej/Lygten;AG16;Sep 2, 2025 1:04:42 PM;ON / Control;PL04/Calendar;EC1+
healthy;;16.10.;EC-2 Nordic;;Tagensvej/Hovmestervej;AG16;Sep 2, 2025 1:00:03 PM;ON / Control;PL04/Calendar;EC1+
attention;Lamp error;16.11 ;EC-2 Nordic;;Lygten/FyrbÃ¸dervej;AG16;Sep 2, 2025 12:47:39 PM;ON / Control;PL02/Calendar;
attention;Lamp error;16.12 ;EC-2 Nordic;;Tagensvej ved Bispebjerg Station - fodgÃ¦ngerfelt;AG16;Sep 2, 2025 12:50:22 PM;ON / Control;PL02/Calendar;EC1+
healthy;;17.01;EC-2 Nordic;;Frederiksborgvej/Birkedommervej;AG17;Sep 2, 2025 12:49:19 PM;ON / Control;PL02/Calendar;EC1+
informational;;17.02 ;EC-2 Nordic;;Tagensvej - Frederiksborgvej;AG17;Sep 2, 2025 1:01:15 PM;ON / Control;PL02/Calendar;
healthy;;17.03 ;EC-2 Nordic;;Frederiksborgvej/Bispebjerg ParkallÃ©;AG17;Sep 2, 2025 1:05:10 PM;ON / Control;PL02/Calendar;EC1+
healthy;;17.04 ;EC-2 Nordic;;Frederiksborgvej/Emdrupvej;AG17;Sep 2, 2025 12:59:11 PM;ON / Control;PL02/Calendar;
off;System Alarms;17.05;RSMP;;TomsgÃ¥rdsvej/Rentemestervej;AG17;Jun 24, 2025 7:38:04 AM;Unknown / Unknown;PL-1/Unknown;Swarco ITC2
attention;Lamp error;17.06;EC-2 Nordic;;Tuborgvej/Frederiksborgvej;AG17;Sep 2, 2025 12:49:21 PM;ON / Control;PL02/Calendar;EC1+
healthy;;17.07;EC-2 Nordic;;TomsgÃ¥rdsvej/Birkedommervej;AG17;Sep 2, 2025 12:59:11 PM;ON / Control;PL03/Calendar;
attention;;17.08;EC-2 Nordic;;TomsgÃ¥rdsvej/Frederikssundsvej;AG17;Sep 2, 2025 1:05:46 PM;ON / Control;PL03/Calendar;
attention;Lamp error;17.09 ;EC-2 Nordic;;Frederikssundsvej/Borups AllÃ©;AG17;Sep 2, 2025 1:05:45 PM;ON / Control;PL03/Calendar;
healthy;;17.10.;EC-2 Nordic;;Frederikssundsvej/BellahÃ¸jvej;AG17;Sep 2, 2025 1:04:42 PM;ON / Control;PL03/Calendar;EC1+
attention;Lamp error;17.11 ;EC-2 Nordic;;Hareskovvej/Utterslevvej;AG17;Sep 2, 2025 1:04:42 PM;ON / Control;PL03/Calendar;EC1+
healthy;;17.12 ;EC-2 Nordic;;Utterslev Torv;AG17;Sep 2, 2025 12:59:11 PM;ON / Control;PL03/Calendar;EC1+
attention;;17.13;EC-2 Nordic;;Tuborgvej/Tagensvej;AG17;Sep 2, 2025 12:51:22 PM;ON / Control;PL02/Calendar;
off;;17.14 ;EC-2 Nordic;;Borups AllÃ© - Trafikplads, FodgÃ¦ngersignal;AG17;Aug 26, 2025 10:52:45 AM;Unknown / Unknown;PL-1/Unknown;EC1+
healthy;;18.01 ;EC-2 Nordic;;NÃ¸rrebrogade/Dosseringen;AG18;Sep 2, 2025 1:04:06 PM;ON / Control;PL03/Calendar;EC1+
healthy;;18.02 ;EC-2 Nordic;;NÃ¸rrebrogade/FÃ¦lledvej;AG18;Sep 2, 2025 12:47:13 PM;ON / Control;PL03/Calendar;EC1+
healthy;;18.03 ;EC-2 Nordic;;NÃ¸rrebrogade/Elmegade;AG18;Sep 2, 2025 1:04:29 PM;ON / Control;PL03/Calendar;
healthy;;18.04 ;EC-2 Nordic;;NÃ¸rrebrogade/Kapelvej;AG18;Sep 2, 2025 12:48:15 PM;ON / Control;PL04/Calendar;
attention;Lamp error;18.05;EC-2 Nordic;;NÃ¸rrebrogade/SjÃ¦llandsgade;AG18;Sep 2, 2025 12:58:04 PM;ON / Control;PL03/Calendar;
attention;Lamp error;18.06;EC-2 Nordic;;NÃ¸rrebrogade/Jagtvej;AG18;Sep 2, 2025 1:05:46 PM;ON / Control;PL03/Calendar;A prio
attention;;18.07 ;EC-2 Nordic;;Sankt Hans Torv/Blegdamsvej/FÃ¦lledvej;AG18;Sep 2, 2025 12:48:16 PM;ON / Control;PL03/Calendar;
off;Lamp error;18.08 ;RSMP;;SÃ¸torvet;AG18;Aug 4, 2025 9:58:20 AM;Unknown / Unknown;PL-1/Unknown;Swarco ITC2 A prio
healthy;;19.01 ;EC-2 Nordic;;Mimersgade/Ã†girsgade;AG19;Sep 2, 2025 12:47:16 PM;ON / Control;PL01/Calendar;
attention;;19.02 ;EC-2 Nordic;;Mimersgade/RÃ¥dmandsgade;AG19;Sep 2, 2025 12:46:12 PM;ON / Control;PL01/Calendar;
informational;;19.03 ;EC-2 Nordic;;Mimersgade/Borgmestervangen;AG19;Sep 2, 2025 1:04:28 PM;ON / Control;PL02/Calendar;EC-2 C-prio
healthy;;19.04;EC-2 Nordic;;NÃ¸rrebrogade/Borgmestervangen;AG19;Sep 2, 2025 1:04:42 PM;ON / Control;PL03/Calendar;EC-2 B-prio
informational;;19.05;EC-2 Nordic;;NÃ¸rrebrogade/Folmer Bendtsens Plads;AG19;Sep 2, 2025 1:01:57 PM;ON / Control;PL03/Calendar;
informational;;19.06;EC-2 Nordic;;Frederikssundsvej/Lygten;AG19;Sep 2, 2025 1:01:32 PM;ON / Control;PL03/Calendar;EC-2 B-prio
attention;Lamp error;19.07 ;EC-2 Nordic;;Frederikssundsvej/Frederiksborgvej;AG19;Sep 2, 2025 1:00:10 PM;ON / Control;PL03/Calendar;EC1+ B-prio
attention;;19.08 ;EC-2 Nordic;;Frederikssundsvej/MÃ¥gevej;AG19;Sep 2, 2025 12:50:51 PM;ON / Control;PL02/Calendar;
healthy;;19.09;EC-2 Nordic;;Nordre Fasanvej/Ã˜rnevej;AG19;Sep 2, 2025 12:51:58 PM;ON / Control;PL03/Calendar;EC1+
attention;;19.10 ;EC-2 Nordic;;Frederikssundsvej/Uglevej;AG19;Sep 2, 2025 12:50:22 PM;ON / Control;PL03/Calendar;EC1+
healthy;;19.11;EC-2 Nordic;;NÃ¸rrebrogade/Stefansgade;AG19;Sep 2, 2025 1:02:36 PM;ON / Control;PL03/Calendar;EC1+
healthy;;19.12;EC-2 Nordic;;NÃ¸rrebrogade/HillerÃ¸dgade;AG19;Sep 2, 2025 1:05:47 PM;ON / Control;PL03/Calendar;EC2
attention;;19.13;EC-2 Nordic;;HillerÃ¸dgade/Lundtoftegade;AG19;Sep 2, 2025 1:02:20 PM;ON / Control;PL02/Calendar;
healthy;;19.14;EC-2 Nordic;;NÃ¸rrebrogade ved Esrumgade - Cykelruten;AG19;Sep 2, 2025 12:50:23 PM;ON / Control;PL03/Calendar;EC1+
healthy;;19.15;EC-2 Nordic;;Folmer Bendtsens Plads;AG19;Sep 2, 2025 1:02:20 PM;ON / Control;PL01/Calendar;
informational;;20.01 ;EC-2 Nordic;;Ã…boulevard/BlÃ¥gÃ¥rdsgade;AG20;Sep 2, 2025 12:48:43 PM;ON / Control;PL03/Calendar;
attention;Lamp error;20.02 ;EC-2 Nordic;;Ã…boulevard/Rantzausgade;AG20;Sep 2, 2025 1:05:45 PM;ON / Control;PL03/Calendar;
attention;Lamp error;20.03 ;EC-2 Nordic;;Ã…boulevard/Griffenfeldsgade;AG20;Sep 2, 2025 1:05:31 PM;ON / Control;PL03/Calendar;
informational;;20.04;EC-2 Nordic;;Ã…boulevard/BÃ¼lowsvej;AG20;Sep 2, 2025 1:05:31 PM;ON / Control;PL03/Calendar;
attention;Lamp error;20.05 ;EC-2 Nordic;;Ã…gade/Jagtvej;AG20;Sep 2, 2025 12:46:11 PM;ON / Control;PL03/Calendar;A prio
attention;;20.06;EC-2 Nordic;;Vejdirektoratet - Bispeengebuen/Borups Plads;AG20;Sep 2, 2025 1:06:37 PM;ON / Control;PL03/Calendar;
healthy;;20.07;EC-2 Nordic;;Jagtvej/Hans Egedes Gade;AG 20;Sep 2, 2025 12:46:13 PM;ON / Control;PL03/Calendar;
healthy;;20.08;EC-2 Nordic;;Jagtvej/Rantzausgade;AG20;Sep 2, 2025 12:47:13 PM;ON / Control;PL03/Calendar;EC1+
healthy;;20.09;EC-2 Nordic;;Jagtvej/JÃ¦gersborggade;AG20;Sep 2, 2025 1:00:10 PM;ON / Control;PL03/Calendar;
informational;;20.10 ;EC-2 Nordic;;Borups AllÃ©/Borups Plads;AG20;Sep 2, 2025 1:02:36 PM;ON / Control;PL01/Calendar;
informational;;20.11 ;EC-2 Nordic;;Griffenfeldsgade/Rantzausgade;AG20;Sep 2, 2025 1:06:38 PM;ON / Control;PL03/Calendar;
informational;;20.13 ;EC-2 Nordic;;Borups AllÃ©/Ã…gade;AG20;Sep 2, 2025 1:06:16 PM;ON / Control;PL01/Calendar;
attention;;21.02;EC-2 Nordic;;Vejdirektoratet - Bispeengbuen/Borups AllÃ©;AG21;Sep 2, 2025 1:00:09 PM;ON / Control;PL03/Calendar;EC1+
healthy;;21.03;EC-2 Nordic;;Vejdirektoratet - Borups AllÃ©/MÃ¥gevej;AG21;Sep 2, 2025 1:05:32 PM;ON / Control;PL03/Calendar;
attention;;21.04;EC-2 Nordic;;Vejdirektoratet - Borups AllÃ©/HulgÃ¥rdsvej;AG21;Sep 2, 2025 12:48:16 PM;ON / Control;PL03/Calendar;A prio
off;;21.05;EC-2 Nordic;;Vejdirektoratet - Borups AllÃ© v/ tunnelrampen;AG21;Aug 26, 2025 10:33:42 AM;Unknown / Unknown;PL-1/Unknown;EC1+
informational;;21.07;EC-2 Nordic;;Vejdirektoratet - Hareskovvej/Mellemvangen;AG21;Sep 2, 2025 12:48:40 PM;ON / Control;PL03/Calendar;
attention;;21.08;EC-2 Nordic;;Vejdirektoratet - Hareskovvej/Mosesvinget;AG21;Sep 2, 2025 12:50:51 PM;ON / Control;PL03/Calendar;
attention;;21.10 ;EC-2 Nordic;;Ã…kandevej/Ruten ;AG21;Sep 2, 2025 12:48:15 PM;ON / Control;PL01/Calendar;EC1+
attention;Lamp error;22.01 ;EC-2 Nordic;;BrÃ¸nshÃ¸j Torv;AG22;Sep 2, 2025 1:03:09 PM;ON / Control;PL99/UTC Control;
healthy;;22.02 ;EC-2 Nordic;;Frederikssundsvej/Havdrupvej;AG22;Sep 2, 2025 1:02:27 PM;ON / Control;PL99/UTC Control;EC1+
healthy;;22.03 ;EC-2 Nordic;;Frederikssundsvej/VeksÃ¸vej;AG22;Sep 2, 2025 1:05:31 PM;ON / Control;PL03/Calendar;
attention;Lamp error;22.04;EC-2 Nordic;;Frederikssundsvej/Ã…kandevej;AG22;Sep 2, 2025 1:04:28 PM;ON / Control;PL03/Calendar;EC1+
attention;;22.05 ;EC-2 Nordic;;Frederikssundsvej/Husumvej;AG22;Sep 2, 2025 1:04:28 PM;ON / Control;PL03/Calendar;
attention;;22.06;EC-2 Nordic;;Frederikssundvej/KobbelvÃ¦nget;AG22;Sep 2, 2025 1:05:46 PM;ON / Control;PL03/Calendar;
attention;Lamp error;22.07 ;EC-2 Nordic;;Frederikssundsvej/MÃ¸rkhÃ¸jvej;AG22;Sep 2, 2025 12:48:17 PM;ON / Control;PL03/Calendar;
healthy;;22.08 ;EC-2 Nordic;;Islevhusvej/Marbjergvej;AG22;Sep 2, 2025 1:03:31 PM;ON / Control;PL01/Calendar;EC1+
healthy;;22.09 ;EC-2 Nordic;;Frederikssundsvej/Novembervej;AG22;Sep 2, 2025 12:49:45 PM;ON / Control;PL03/Calendar;
informational;;22.10 ;EC-2 Nordic;;Frederikssundsvej/Degnemose AllÃ©;AG22;Sep 2, 2025 1:04:13 PM;ON / Control;PL04/Calendar;EC1+
dark;Lamp error;22.11 P;EC-2 Nordic;;MÃ¸rkhÃ¸jvej/Veststien;AG22;Sep 2, 2025 1:03:21 PM;DARK / Plan;PL49/Forced;
attention;;22.12 ;EC-2 Nordic;;Frederikssundsvej/Islevhusvej;AG22;Sep 2, 2025 12:48:18 PM;ON / Control;PL03/Calendar;
attention;Lamp error;22.13 ;EC-2 Nordic;;Islevhusvej/Veststien;AG22;Sep 2, 2025 1:04:41 PM;ON / Control;PL01/Calendar;EC1+
informational;;22.14 ;EC-2 Nordic;;Frederikssundsvej/Veststien;AG22;Sep 2, 2025 12:48:18 PM;ON / Control;PL03/Calendar;EC1+
attention;Lamp error;22.15;EC-2 Nordic;;Frederikssundsvej/Ã…flÃ¸jen;AG22;Sep 2, 2025 1:02:36 PM;ON / Control;PL03/Calendar;EC2
unknown;System Alarms;23.02;EC-2 Nordic;;HulgÃ¥rdsvej/Hvidkildevej;AG23;Sep 2, 2025 9:39:00 AM;Unknown / Unknown;PL-1/Unknown;EC1+
attention;Lamp error;23.03 ;EC-2 Nordic;;HulgÃ¥rdsvej/HillerÃ¸dgade/GodthÃ¥bsvej;AG23;Sep 2, 2025 12:50:52 PM;ON / Control;PL03/Calendar;EC1+
healthy;;23.05;EC-2 Nordic;;Sallingvej/Rebildvej;AG23;Sep 2, 2025 12:48:16 PM;ON / Control;PL02/Calendar;
healthy;;23.06 ;EC-2 Nordic;;Sallingvej/Ã…bakkevej;AG23;Sep 2, 2025 12:51:58 PM;ON / Control;PL03/Calendar;EC1+
off;System Alarms;23.07;RSMP;;GrÃ¸ndals Parkvej/Apollovej;AG23;Jun 25, 2025 7:55:25 AM;Unknown / Unknown;PL-1/Unknown;ITC-2
healthy;;23.08 ;EC-2 Nordic;;BellehÃ¸jvej/Annebergvej;AG23;Sep 2, 2025 12:50:52 PM;ON / Control;PL03/Calendar;EC1+
informational;;23.10 ;EC-2 Nordic;;BellahÃ¸jvej/GodthÃ¥bsvej;AG23;Sep 2, 2025 1:06:16 PM;ON / Control;PL01/Calendar;
attention;Lamp error;24.01 ;EC-2 Nordic;;Husumvej/KildebrÃ¸ndevej;AG24;Sep 2, 2025 1:04:28 PM;ON / Control;PL01/Calendar;
healthy;;24.03;EC-2 Nordic;;Jyllingevej/Sallingvej;AG24;Sep 2, 2025 12:59:49 PM;ON / Control;PL02/Calendar;
healthy;;24.04;EC-2 Nordic;;Jyllingevej/Jernbane AllÃ©;AG24;Sep 2, 2025 1:01:32 PM;ON / Control;PL01/Calendar;
attention;;24.05;EC-2 Nordic;;Jyllingevej/Ã…lekistevej;AG24;Sep 2, 2025 1:01:32 PM;ON / Control;PL02/Calendar;
informational;;24.06 ;EC-2 Nordic;;Ã…lekistevej/KlitmÃ¸llervej;AG24;Sep 2, 2025 1:06:37 PM;ON / Control;PL03/Calendar;
attention;;24.07;EC-2 Nordic;;Ã…lekistevej/Jydeholmen;AG24;Sep 2, 2025 1:05:32 PM;ON / Control;PL02/Calendar;EC1+
healthy;;24.08 ;EC-2 Nordic;;Ã…lekistevej/Hyltebjerg AllÃ©;AG24;Sep 2, 2025 12:48:45 PM;ON / Control;PL02/Calendar;EC1+
attention;;24.09;EC-2 Nordic;;Ã…lekistevej/Kirkebjerg AllÃ©;AG24;Sep 2, 2025 12:47:35 PM;ON / Control;PL01/Calendar;EC1+
attention;Lamp error;24.10;EC-2 Nordic;;Slotsherrensvej/Ã…lekistevej;AG24;Sep 2, 2025 1:01:15 PM;ON / Control;PL02/Calendar;EC1+
healthy;;24.11;EC-2 Nordic;;Slotsherrensvej/HÃ¸jstrupvej;AG24;Sep 2, 2025 12:46:34 PM;ON / Control;PL02/Calendar;EC1+
attention;;25.01;EC-2 Nordic;;Istedgade/GasvÃ¦rksvej;AG25;Sep 2, 2025 12:46:38 PM;ON / Control;PL03/Calendar;
off;System Alarms;25.02 P;RSMP;;SkelbÃ¦kgade/KÃ¸dboderne;AG25;Jan 14, 2025 3:20:59 PM;Unknown / Unknown;PL-1/Unknown;Swarco ITC2
healthy;;25.04;EC-2 Nordic;;Vesterbrogade/Viktoriagade;AG25;Sep 2, 2025 1:03:23 PM;ON / Control;PL02/Calendar;
healthy;;25.05;EC-2 Nordic;;Vesterbros Torv;AG25;Sep 2, 2025 1:05:10 PM;ON / Control;PL02/Calendar;
informational;;25.06;EC-2 Nordic;;Vesterbrogade/Frederiksberg AllÃ©;AG25;Sep 2, 2025 12:48:43 PM;ON / Control;PL02/Calendar;
informational;;25.07;EC-2 Nordic;;Vesterbrogade/Enghavevej;AG25;Sep 2, 2025 12:57:14 PM;ON / Control;PL01/Calendar;C-prio
attention;Lamp error;25.11;EC-2 Nordic;;Vesterbrogade/Platanvej;AG25;Sep 2, 2025 1:01:34 PM;ON / Control;PL01/Calendar;
healthy;;25.12;EC-2 Nordic;;SÃ¸nder Boulevard/SkelbÃ¦kgade;AG25;Sep 2, 2025 1:01:15 PM;ON / Control;PL03/Calendar;EC1+
healthy;;25.13;RSMP;;DybbÃ¸lsbro/Ingerslevgade;AG25;Sep 2, 2025 1:05:45 PM;ON / Control;PL04/Unknown;ITC-3
attention;;26.02;EC-2 Nordic;;Roskildevej/Ã…lholm Plads;AG26;Sep 2, 2025 1:00:10 PM;ON / Control;PL02/Calendar;EC1+
healthy;;26.03 ;EC-2 Nordic;;Roskildevej/Peter Bangs Vej;AG26;Sep 2, 2025 1:03:39 PM;ON / Control;PL02/Calendar;
attention;Lamp error;26.04 P;EC-2 Nordic;;Ã…lholmvej/Valby Langgade;AG26;Sep 2, 2025 12:48:41 PM;ON / Control;PL03/Calendar;
attention;;26.05;EC-2 Nordic;;Ã…lholmvej/GrÃ¸ndals Parkvej;AG26;Sep 2, 2025 1:04:41 PM;ON / Control;PL01/Calendar;
healthy;;26.06 ;EC-2 Nordic;;Jernbane AllÃ©/Jydeholmen;AG26;Sep 2, 2025 12:48:16 PM;ON / Control;PL03/Calendar;EC1+
healthy;;26.08;EC-2 Nordic;;Jernbane AllÃ©/VanlÃ¸se AllÃ©;AG26;Sep 2, 2025 1:01:32 PM;ON / Control;PL03/Calendar;EC1+
healthy;;26.12;EC-2 Nordic;;GrÃ¸ndals Parkvej/Jernbane AllÃ©;AG26;Sep 2, 2025 1:00:31 PM;ON / Control;PL02/Calendar;EC2 C-prio
attention;;26.13;EC-2 Nordic;;GrÃ¸ndals Parkvej ved Flintholm Station;AG26;Sep 2, 2025 1:00:55 PM;ON / Control;PL02/Calendar;EC1+ C-prio
attention;Lamp error;26.14;EC-2 Nordic;;Roskildevej ved Ã…lholm Station -  fodgÃ¦ngerfelt;AG26;Sep 2, 2025 1:03:21 PM;ON / Control;PL03/Calendar;EC1+ C-prio
attention;;27.01;EC-2 Nordic;;VesterfÃ¦lledvej/SÃ¸nder Boulevard;AG27;Sep 2, 2025 12:47:13 PM;ON / Control;PL03/Calendar;EC-2 B-prio
healthy;;27.02.;EC-2 Nordic;;Valby Langgade/Gamle Carlsberg Vej;AG27;Sep 2, 2025 1:04:03 PM;ON / Control;PL03/Calendar;EC-2 B-prio
healthy;;27.03 ;EC-2 Nordic;;Enghavevej/Lyrskovgade;AG27;Sep 2, 2025 12:47:15 PM;ON / Control;PL02/Calendar;
healthy;;27.04;RSMP;;Enghavevej - Ny Carlsbergvej;AG27;Sep 2, 2025 1:00:29 PM;ON / Control;PL03/Unknown;ITC-3
attention;;27.05;EC-2 Nordic;;Enghavevej/SÃ¸nder Boulevard;AG12;Sep 2, 2025 12:48:57 PM;ON / Control;PL03/Calendar;EC1+
attention;Lamp error;27.06;EC-2 Nordic;;Enghavevej/Vigerslev AllÃ©/Ingerslevsgade;AG27;Sep 2, 2025 12:59:49 PM;ON / Control;PL03/Calendar;
attention;;27.07;EC-2 Nordic;;Vigerslev AllÃ©/Vester FÃ¦lledvej;AG27;Sep 2, 2025 1:00:55 PM;ON / Control;PL03/Calendar;
attention;;27.08;EC-2 Nordic;;Vigerslev AllÃ©/Bohrsgade;AG27;Sep 2, 2025 12:47:42 PM;ON / Control;PL03/Calendar;EC2
healthy;;27.09;EC-2 Nordic;;Istedgade/OehlenschlÃ¦gersgade;AG27;Sep 2, 2025 12:48:18 PM;ON / Control;PL03/Calendar;EC-2 C-prio
healthy;;27.10 ;EC-2 Nordic;;SÃ¸nder Boulevard/Ny Carlsbergvej;AG27;Sep 2, 2025 1:03:21 PM;ON / Control;PL03/Calendar;EC1+
healthy;;27.11;EC-2 Nordic;;Vester FÃ¦lledvej/Ny Carlsbergvej;AG27;Sep 2, 2025 1:04:42 PM;ON / Control;PL01/Calendar;EC1+
attention;Lamp error;28.01;EC-2 Nordic;;Vigerslev AllÃ©/SjÃ¦lÃ¸r Boulevard;AG28;Sep 2, 2025 1:04:05 PM;ON / Control;PL99/UTC Control;
