Obs;Active Alarms;Name;Type;Subtype;Intersection;Area;Last Update;Operation mode;Active plan;Info
attention;Lamp error;28.03;EC-2 Nordic;;ToftegÃ¥rds Plads/Gl. KÃ¸ge Landevej;AG28;Sep 2, 2025 1:04:28 PM;ON / Control;PL04/Forced;A prio
attention;Lamp error;28.04 ;EC-2 Nordic;;ToftegÃ¥rds AllÃ©/LyshÃ¸jgÃ¥rdsvej;AG28;Sep 2, 2025 1:04:05 PM;ON / Control;PL01/Calendar;
attention;Lamp error;28.05 ;EC-2 Nordic;;Valby Langgade/ToftegÃ¥rds AllÃ©;AG28;Sep 2, 2025 1:02:37 PM;ON / Control;PL99/UTC Control;
attention;Lamp error;28.06.;EC-2 Nordic;;ToftegÃ¥rds AllÃ©/Rughavevej;AG28;Sep 2, 2025 1:02:36 PM;ON / Control;PL01/Calendar;
informational;;28.07 ;EC-2 Nordic;;Langgade/Gl. Jernbanevej;AG28;Sep 2, 2025 1:02:12 PM;ON / Control;PL99/UTC Control;
attention;Lamp error;28.08 ;EC-2 Nordic;;Langgade/Annexstraede;AG28;Sep 2, 2025 12:48:42 PM;ON / Control;PL99/UTC Control;
healthy;;28.09 ;EC-2 Nordic;;Valby Langgade/GÃ¥sebÃ¦ksvej;AG28;Sep 2, 2025 12:48:40 PM;ON / Control;PL03/Calendar;EC1+
healthy;;28.10 ;EC-2 Nordic;;Valby Langgade/Dronning Dagmars AllÃ©;AG28;Sep 2, 2025 1:00:10 PM;ON / Control;PL03/Calendar;
attention;Detector error;28.11;EC-2 Nordic;;Vigerslev AllÃ©/Trekronergade;AG28;Sep 2, 2025 12:47:13 PM;ON / Control;PL99/UTC Control;
attention;Lamp error;28.12;EC-2 Nordic;;Valby Langgade/SÃ¸ndre AllÃ©;AG28;Sep 2, 2025 1:00:31 PM;ON / Control;PL01/Calendar;
healthy;;28.13;RSMP;;Valby Langgade - Skellet ;AG28;Sep 2, 2025 1:02:35 PM;ON / Control;PL01/Unknown;ITC-3/N
attention;;29.01;EC-2 Nordic;;Vigerslev AllÃ©/Ramsingsvej;AG29;Sep 2, 2025 1:04:41 PM;ON / Control;PL99/UTC Control;
healthy;;29.02;EC-2 Nordic;;Vigerslev AllÃ©/Fengersvej;AG29;Sep 2, 2025 1:06:37 PM;ON / Control;PL99/UTC Control;
healthy;;29.03 ;EC-2 Nordic;;Vigerslev AllÃ©/Retortvej;AG29;Sep 2, 2025 12:47:42 PM;ON / Control;PL03/Calendar;EC1+
attention;Lamp error;29.04 ;EC-2 Nordic;;Vigerslev AllÃ©/Lykkebovej;AG29;Sep 2, 2025 1:03:39 PM;ON / Control;PL03/Calendar;
healthy;;29.05 ;EC-2 Nordic;;Vigerslevvej/Vigerslev AllÃ©;AG29;Sep 2, 2025 12:51:23 PM;ON / Control;PL02/Calendar;EC1+
attention;Lamp error;29.06;EC-2 Nordic;;Vigerslevvej/Lykkebovej;AG29;Sep 2, 2025 1:04:01 PM;ON / Control;PL02/Calendar;
attention;;29.07;EC-2 Nordic;;Vigerslevvej/Landlystvej;AG29;Sep 2, 2025 1:05:46 PM;ON / Control;PL02/Calendar;
attention;;29.08;EC-2 Nordic;;Vigerslevvej/RÃ¸dbyvej;AG29;Sep 2, 2025 12:51:58 PM;ON / Control;PL02/Calendar;EC1+
healthy;;29.09;EC-2 Nordic;;Vigerslev AllÃ©/Peder Hjorts Vej/Pakkerivej;29;Sep 2, 2025 12:47:14 PM;ON / Control;PL99/UTC Control;
informational;;29.10 ;EC-2 Nordic;;Landlystvej/Veststien;AG29;Sep 2, 2025 12:47:14 PM;ON / Control;PL03/Calendar;EC1+
attention;Hardware error;29.11;RSMP;;Vigerslev alle - Veststien;AG 29;Sep 2, 2025 1:00:30 PM;ON / Control;PL01/Unknown;ITC-3
healthy;;29.12 ;EC-2 Nordic;;Retortvej - James Grieve Vej - NÃ¸ddehaven;AG29;Sep 2, 2025 1:05:44 PM;ON / Control;PL04/Calendar;EC-2
healthy;;30.01;EC-2 Nordic;;Gammel KÃ¸ge Landevej/Carl Jacobsens Vej;AG30;Sep 2, 2025 1:05:10 PM;ON / Control;PL02/Calendar;EC1+
healthy;;30.02 ;EC-2 Nordic;;Gammel KÃ¸ge Landevej/Torveporten;AG30;Sep 2, 2025 1:05:09 PM;ON / Control;PL02/Calendar;EC1+
attention;Lamp error;30.03;EC-2 Nordic;;Folehaven/Gammel KÃ¸ge Landevej;AG30;Sep 2, 2025 1:06:16 PM;ON / Control;PL04/Calendar;EC-2 C-prio
healthy;;30.04;EC-2 Nordic;;Folehaven/Retortvej;AG30;Sep 2, 2025 1:03:22 PM;ON / Control;PL03/Calendar;EC1+
healthy;;30.05;EC-2 Nordic;;Folehaven/Hestehaven - FodgÃ¦ngersignal;AG30;Sep 2, 2025 1:01:22 PM;ON / Control;PL05/Calendar;EC1+
healthy;;30.06;EC-2 Nordic;;Folehaven/NÃ¸ddehaven - FodgÃ¦ngersignal;AG30;Sep 2, 2025 1:01:15 PM;ON / Control;PL05/Calendar;
attention;Detector error;30.07;EC-2 Nordic;;Vejdirektoratet - HolbÃ¦kmotorvejen/Vigerslevvej;AG30;Sep 2, 2025 1:00:55 PM;ON / Control;PL03/Calendar;
healthy;;30.08;EC-2 Nordic;;Vejdirektoratet - HolbÃ¦kmotorvejen/SÃ¸nderkÃ¦r;AG30;Sep 2, 2025 1:00:54 PM;ON / Control;PL03/Calendar;EC1+
healthy;;30.09;EC-2 Nordic;;Valby IdrÃ¦tspark/Ellebjergvej ;AG30;Sep 2, 2025 1:01:59 PM;ON / Control;PL03/Calendar;
healthy;;30.10;EC-2 Nordic;;Ellebjergvej/StubmÃ¸llevej;AG30;Sep 2, 2025 1:06:16 PM;ON / Control;PL03/Calendar;
attention;Lamp error;30.11;EC-2 Nordic;;Gammel KÃ¸ge Landevej/Kirsten Walthers Vej;AG30;Sep 2, 2025 12:46:36 PM;ON / Control;PL02/Calendar;
attention;;30.12;EC-2 Nordic;;Carl Jacobsens Vej/KÃ¸benhavn Syd Station;AG30;Sep 2, 2025 1:04:42 PM;ON / Control;PL01/Calendar;EC-2
healthy;;30.13;EC-2 Nordic;;Gammel KÃ¸ge Landevej/Vigerslevvej;AG30;Sep 2, 2025 1:01:30 PM;ON / Control;PL04/Calendar;
attention;Lamp error;31.01 ;EC-2 Nordic;;SjÃ¦llandsbroen/Sluseholmen;AG31;Sep 2, 2025 1:00:09 PM;ON / Control;PL03/Calendar;
attention;;31.02;EC-2 Nordic;;SjÃ¦llandsbroen/Sydhavnsgade;AG31;Sep 2, 2025 12:47:42 PM;ON / Control;PL03/Calendar;EC1+
healthy;;31.03;EC-2 Nordic;;Sydhavnsgade â€“ Scandiagade;AG31;Sep 2, 2025 12:49:19 PM;ON / Control;PL03/Calendar;EC1+
attention;Lamp error;31.04;EC-2 Nordic;;Vasbygade/Teglholmsgade/Scandiagade;AG31;Sep 2, 2025 12:50:51 PM;ON / Control;PL03/Calendar;EC1+ A prio
attention;Lamp error;31.05 ;EC-2 Nordic;;Sydhavns Plads/P. Knudsensgade/Borgbjergsvej;AG31;Sep 2, 2025 12:47:16 PM;ON / Control;PL03/Calendar;
attention;Lamp error;31.06;EC-2 Nordic;;Enghavevej - Cykelkrydsning ved Sydhavn station;AG31;Sep 2, 2025 1:03:39 PM;ON / Control;PL03/Calendar;
attention;Lamp error;31.07;EC-2 Nordic;;Ellebjergvej/Borgmester Christiansensgade;AG31;Sep 2, 2025 1:05:45 PM;ON / Control;PL03/Calendar;
healthy;;31.08;EC-2 Nordic;;P. Knudsensgade/Gustav Bangs Gade;AG31;Sep 2, 2025 1:03:39 PM;ON / Control;PL03/Calendar;EC1+
healthy;;31.09;EC-2 Nordic;;Enghavevej/Tranehavevej;AG31;Sep 2, 2025 12:47:40 PM;ON / Control;PL03/Calendar;EC1+
healthy;;31.10;EC-2 Nordic;;Enghavevej/BavnehÃ¸j AllÃ©;AG31;Sep 2, 2025 1:03:38 PM;ON / Control;PL03/Calendar;EC1+
attention;;31.11;EC-2 Nordic;;StÃ¸berigade/Teglholmsgade;AG31;Sep 2, 2025 1:05:10 PM;ON / Control;PL01/Calendar;
healthy;;31.12;EC-2 Nordic;;SjÃ¦lÃ¸r Boulevard/SjÃ¦lÃ¸r Station;AG31;Sep 2, 2025 1:03:23 PM;ON / Control;PL03/Calendar;
healthy;;31.13;EC-2 Nordic;;Enghavevej - Cykel- og fodgÃ¦ngerovergang;AG31;Sep 2, 2025 1:06:37 PM;ON / Control;PL03/Calendar;
healthy;;31.14 P;RSMP;;Mozarts Plads;AG31;Sep 2, 2025 1:01:13 PM;ON / Control;PL04/Unknown;ITC-3/N
attention;Detector error;31.15 P;EC-2 Nordic;;SjÃ¦llandsbroen/Sluseholmen;AG13;Sep 2, 2025 1:06:37 PM;ON / Control;PL03/Calendar;
attention;Hardware error;31.16 P;RSMP;;Sluseholemen - Ved Stigbordene ;AG 31;Sep 2, 2025 12:51:56 PM;ON / Control;PL07/Unknown;ITC-3/N
healthy;;31.17;RSMP;;Fragtvej - BÃ¥dehavnsgade;AG31;Sep 2, 2025 1:00:30 PM;ON / Control;PL01/Unknown;ITC-3/N
attention;Hardware error;31.18;RSMP;;Molestien - BÃ¥dehavnsgade;AG31;Sep 2, 2025 12:57:39 PM;ON / Control;PL03/Unknown;ITC-3/N
off;System Alarms;33.01 P;RSMP;;Artillerivej - Hilmar Baunsgaard Boulevard;AG33;Jan 2, 2023 9:26:19 AM;Unknown / Unknown;PL-1/Unknown;ITC-2
healthy;;33.03;EC-2 Nordic;;Ã˜restads Boulevard/Weidekampsgade;AG33;Sep 2, 2025 12:48:18 PM;ON / Control;PL05/Calendar;
attention;Lamp error;33.04;EC-2 Nordic;;Artillerivej/Njalsgade/Ã˜restads Boulevard;AG33;Sep 2, 2025 1:04:40 PM;ON / Control;PL03/Calendar;
attention;Lamp error;33.05;EC-2 Nordic;;Artillerivej/Halfdansgade;AG33;Sep 2, 2025 12:49:45 PM;ON / Control;PL03/Calendar;EC1+
attention;Lamp error;33.06;EC-2 Nordic;;Amager FÃ¦lledvej/Sundholmvej;AG33;Sep 2, 2025 1:03:38 PM;ON / Control;PL03/Calendar;
attention;Detector error;33.07;EC-2 Nordic;;AmagerfÃ¦lledvej/Kaj Munks Vej;AG33;Sep 2, 2025 12:48:41 PM;ON / Control;PL03/Central;EC1+
attention;;33.08;EC-2 Nordic;;AmagerfÃ¦lledvej/Rued Langgaards Vej;AG33;Sep 2, 2025 12:48:15 PM;ON / Control;PL03/Central;EC1+
attention;Detector error;33.09;EC-2 Nordic;;AmagerfÃ¦lledvej/August Schade Kvarteret;AG33;Sep 2, 2025 1:02:19 PM;ON / Control;PL01/Calendar;EC-2
healthy;;33.10;RSMP;;Artillerivej - Axel Heides Gade;AG 33;Sep 2, 2025 1:00:29 PM;ON / Control;PL01/Unknown;ITC-3/N
healthy;;34.01 ;FlowNode Alert+;;Ã˜resundsvej/Strandlodsvej;AG34;Sep 2, 2025 1:02:20 PM;ON / Control;PL01/Calendar;Flownode
unknown;System Alarms;34.02;EC-2 Nordic;;Ã˜resundsvej/Ã˜strigsgade;AG34;Sep 2, 2025 9:39:00 AM;Unknown / Unknown;PL-1/Unknown;EC1+
healthy;;34.03;EC-2 Nordic;;Wittenberggade/Moselgade;AG34;Sep 2, 2025 12:47:15 PM;ON / Control;PL01/Calendar;EC1+
healthy;;34.04;EC-2 Nordic;;Wittenberggade/Frankrigsgade;AG34;Sep 2, 2025 1:02:19 PM;ON / Control;PL01/Calendar;EC1+
informational;;34.05;EC-2 Nordic;;Ã˜strigsgade/Lergravsvej;AG34;Sep 2, 2025 1:00:10 PM;ON / Control;PL01/Calendar;
off;System Alarms;34.06;RSMP;;Kastrupvej/Backersvej;AG34;Apr 15, 2025 7:26:34 AM;Unknown / Unknown;PL-1/Unknown;Swarco ITC2
healthy;;34.07;EC-2 Nordic;;Kastrupvej/Wibrandtsvej;AG34;Sep 2, 2025 1:01:34 PM;ON / Control;PL01/Calendar;EC1+
healthy;;34.08;EC-2 Nordic;;Kastrupvej/Persiensvej - fodgÃ¦ngerfelt;AG34;Sep 2, 2025 1:03:01 PM;ON / Control;PL01/Calendar;EC1+
attention;;34.09;EC-2 Nordic;;Kastrupvej/Italiensvej;AG34;Sep 2, 2025 12:50:22 PM;ON / Control;PL01/Calendar;
attention;;34.10;EC-2 Nordic;;Backersvej/Italiensvej;AG34;Sep 2, 2025 1:04:41 PM;ON / Control;PL01/Calendar;
healthy;;34.11;EC-2 Nordic;;Backersvej/Samosvej;AG34;Sep 2, 2025 1:01:34 PM;ON / Control;PL01/Calendar;EC1+
healthy;;34.12;EC-2 Nordic;;Ã˜resundsvej/Kastrupvej;AG34;Sep 2, 2025 1:04:36 PM;ON / Control;PL01/Calendar;
attention;Lamp error;3-4029 Amager Strandvej Frak.15+16;EC-2 Nordic;;Amagerstrandvej/motorvejsramper;VD;Sep 2, 2025 1:00:31 PM;ON / Control;PL03/Calendar;VD
attention;Lamp error;3-4032 K1 Center Boulevard/Ã˜resundsmotorvejen;EC-2 Nordic;;K1;CPH;Sep 2, 2025 12:59:49 PM;ON / Control;PL04/Central;
attention;Detector error;3-4032 K2 Center Boulevard/Ã˜resundsmotorvejen;EC-2 Nordic;;K2;CPH;Sep 2, 2025 12:59:49 PM;ON / Control;PL04/Unknown;
informational_alert;;35.01;EC-2 Nordic;;Sundholmvej/Tingvej;AG35;Sep 2, 2025 1:01:08 PM;ON / Control;PL03/Forced;EC1+
attention;Lamp error;35.02;EC-2 Nordic;;Englandsvej/Sundholmsvej;AG35;Sep 2, 2025 12:59:49 PM;ON / Control;PL03/Calendar;EC1+
attention;;35.03;EC-2 Nordic;;Englandsvej/Irlandsvej/Peder Lykkesvej;AG35;Sep 2, 2025 1:01:34 PM;ON / Control;PL03/Calendar;EC-2 C-prio
attention;;35.05;EC-2 Nordic;;Englandsvej/Urmagerstien ved Dyvekeskolen;AG35;Sep 2, 2025 12:48:17 PM;ON / Control;PL01/Calendar;EC-2 C-prio
attention;;35.06;EC-2 Nordic;;Englandsvej/Sundbyvestervej;AG35;Sep 2, 2025 1:01:15 PM;ON / Control;PL03/Calendar;EC-2 C-prio
informational;;35.08;EC-2 Nordic;;RÃ¸de Mellemvej/Dyvekeskolen;AG35;Sep 2, 2025 1:01:33 PM;ON / Control;PL02/Central;EC-2 C-prio
attention;;35.09;EC-2 Nordic;;RÃ¸de Mellemvej/Peder Lykkes Vej;AG35;Sep 2, 2025 12:59:49 PM;ON / Control;PL03/Central;EC-1+ C-prio
healthy;;35.10.;EC-2 Nordic;;Irlandsvej/Sundbyvestervej;AG35;Sep 2, 2025 1:01:32 PM;ON / Control;PL03/Calendar;EC1+
off;;35.11 ;EC-2 Nordic;;Vejlands AllÃ©/Irlandsvej;AG35;Sep 2, 2025 8:49:24 AM;Unknown / Unknown;PL-1/Unknown;
healthy;;36.01;EC-2 Nordic;;Amagerbrogade/Frankrigsgade;AG36;Sep 2, 2025 12:47:38 PM;ON / Control;PL01/Calendar;
healthy;;36.02;EC-2 Nordic;;Amagerbrogade/Englandsvej;AG36;Sep 2, 2025 1:05:31 PM;ON / Control;PL01/Calendar;
informational;;36.03 ;EC-2 Nordic;;Amagerbrogade/Elbagade;AG36;Sep 2, 2025 1:05:44 PM;ON / Control;PL01/Calendar;
healthy;;36.04 ;EC-2 Nordic;;Amagerbrogade/Oxford AllÃ©;AG36;Sep 2, 2025 1:05:10 PM;ON / Control;PL03/Calendar;
attention;;36.05 ;EC-2 Nordic;;Amagerbrogade/Sundbyvester Plads;AG36;Sep 2, 2025 12:47:15 PM;ON / Control;PL01/Calendar;
healthy;;36.06;EC-2 Nordic;;Vejlands AllÃ©/Amagerbrogade;AG36;Sep 2, 2025 12:48:17 PM;ON / Control;PL05/Calendar;EC2
healthy;;39.01;EC-2 Nordic;;Kongelundsvej/Otto Baches AllÃ©;AG39;Sep 2, 2025 1:04:41 PM;ON / Control;PL01/Calendar;EC1+
attention;Lamp error;40.01 ;EC-2 Nordic;;Vejlands AllÃ©/Englandsvej;AG40;Sep 2, 2025 1:03:38 PM;ON / Control;PL03/Calendar;
attention;;40.02;EC-2 Nordic;;Vejlands AllÃ©/RÃ¸de Mellemvej;AG40;Sep 2, 2025 12:48:18 PM;ON / Control;PL03/Calendar;
attention;Lamp error;40.03;EC-2 Nordic;;Vejlands AllÃ©/Ã˜restads Boulevard;AG40;Sep 2, 2025 12:49:19 PM;ON / Control;PL03/Calendar;EC-1+ C-prio
off;Lamp error;40.04 ;RSMP;;Vejlands AllÃ©/Center Boulevard;AG40;Jun 1, 2023 11:54:31 AM;Unknown / Unknown;PL-1/Unknown;Swarco ITC2
attention;;40.05;EC-2 Nordic;;Vejlands AllÃ©/Artillerivej;AG40;Sep 2, 2025 1:03:37 PM;ON / Control;PL01/Calendar;
healthy;;40.06;EC-2 Nordic;;Vejlands AllÃ©/Amagermotorvejen Ã˜st;AG40;Sep 2, 2025 1:03:37 PM;ON / Control;PL04/Calendar;EC1+
healthy;;40.07;EC-2 Nordic;;Vejlands AllÃ©/Amager Motorvejen Vest;AG40;Sep 2, 2025 12:49:45 PM;ON / Control;PL04/Calendar;EC1+
healthy;;40.08;EC-2 Nordic;;Amager Motorvejen - Sydlige udfletning;AG40;Sep 2, 2025 12:47:14 PM;ON / Control;PL04/Calendar;EC1+ B-prio
attention;;40.09;EC-2 Nordic;;Kongelundsvej 65;AG40;Sep 2, 2025 12:48:18 PM;ON / Control;PL03/Calendar;EC-1+ C-prio
attention;Lamp error;40.10.;EC-2 Nordic;;Englandsvej/FÃ¸lfodvej;AG40;Sep 2, 2025 12:48:41 PM;ON / Control;PL03/Calendar;
attention;;40.13;EC-2 Nordic;;Kongelundsvej/Slusevej;AG40;Sep 2, 2025 12:48:18 PM;ON / Control;PL03/Calendar;
informational;;40.14;EC-2 Nordic;;Vejlands AllÃ©/Digevej;AG40;Sep 2, 2025 1:04:41 PM;ON / Control;PL03/Calendar;EC1+ C-prio
off;Detector error;41.01;RSMP;;Strandlodsvej/Lergravsvej;AG41;Jan 28, 2020 1:12:56 PM;Unknown / Unknown;PL-1/Unknown;Swarco ITC-2
informational_alert;;41.02;EC-2 Nordic;;Prags Boulevard/Ved Amagerbanen;AG41;Sep 2, 2025 12:59:11 PM;ON / Control;PL03/Forced;
attention;;41.03 ;EC-2 Nordic;;Vermlandsgade/KlÃ¸vermarksvej;AG41;Sep 2, 2025 1:04:28 PM;ON / Control;PL03/Calendar;
healthy;;41.04 ;RSMP;;Vermlandsgade/Uplandsgade;AG41;Sep 2, 2025 1:02:18 PM;ON / Control;PL01/Unknown;ITC-3/N
healthy;;41.05;EC-2 Nordic;;Holmbladsgade/Vermlandsgade;AG41;Sep 2, 2025 1:06:16 PM;ON / Control;PL03/Calendar;EC1+
healthy;;41.06 P;RSMP;;Nyrnbergade - Holmbladsgade;AG41;Sep 2, 2025 1:04:17 PM;ON / Control;PL06/Unknown;ITC-3/N
attention;;41.13;EC-2 Nordic;;Amager Strandvej/Ã˜resundsvej;AG41;Sep 2, 2025 1:01:14 PM;ON / Control;PL03/Calendar;EC1+
attention;Lamp error;41.20;EC-2 Nordic;;Amager Strandvej/Svend Vonveds Vej;AG20;Sep 2, 2025 1:00:54 PM;ON / Control;PL03/Calendar;
attention;Lamp error;41.21;EC-2 Nordic;;Amager Strandvej/Prags Boulevard;AG41;Sep 2, 2025 12:57:40 PM;ON / Control;PL01/Calendar;
attention;Lamp error;41.22 ;EC-2 Nordic;;Prags Boulevard/Strandlodsvej;AG41;Sep 2, 2025 12:48:16 PM;ON / Control;PL02/Calendar;
off;System Alarms;41.23;RSMP;;Amager Strandvej/HedegÃ¥aardsvej;AG41;Jan 28, 2020 1:11:22 PM;Unknown / Unknown;PL-1/Unknown;Swarco ITC2, X Prio
healthy;;42.02;EC-2 Nordic;;Classensgade - fodgÃ¦ngerfelt ved LivjÃ¦gergade;AG42;Sep 2, 2025 12:47:41 PM;ON / Control;PL01/Calendar;
healthy;;42.03 ;EC-2 Nordic;;Ã˜stbanegade/Nordre Frihavnsgade;AG42;Sep 2, 2025 1:03:39 PM;ON / Control;PL03/Calendar;EC1+
healthy;;42.05 ;EC-2 Nordic;;Ã˜stbanegade ved Nordhavn Station - fodgÃ¦ngerfelt;AG42;Sep 2, 2025 1:04:38 PM;ON / Control;PL03/Calendar;EC1+
attention;Lamp error;42.06;EC-2 Nordic;;Strandboulevarden/Svendborggade;AG42;Sep 2, 2025 12:58:50 PM;ON / Control;PL05/Calendar;
attention;Lamp error;42.07;EC-2 Nordic;;Strandboulevard/Vordingborggade;AG42;Sep 2, 2025 1:01:56 PM;ON / Control;PL07/Calendar;EC1+
attention;Lamp error;42.08;EC-2 Nordic;;Strandboulevard/Ã…rhusgade;AG42;Sep 2, 2025 1:00:31 PM;ON / Control;PL03/Calendar;
healthy;;42.09 ;EC-2 Nordic;;Strandboulevard/Nordre Frihavnsgade;AG42;Sep 2, 2025 12:46:38 PM;ON / Control;PL03/Calendar;EC1+
healthy;;42.11;RSMP;;Strandboulevarden/Classensgade;AG42;Sep 2, 2025 12:59:10 PM;ON / Control;PL06/Unknown;ITC-3
healthy;;42.12 ;RSMP;;Strandboulevarden/Kristianiagade;AG42;Sep 2, 2025 1:00:34 PM;ON / Control;PL01/Unknown;ITC-3/N
attention;Lamp error;43.01 P;RSMP;;KlÃ¸vermarksvej - Raffinaderivej ;AG43;Sep 2, 2025 1:00:29 PM;ON / Control;PL01/Unknown;ITC-3/N
attention;Configuration error;50.01;EC-2 Nordic;;Ã˜restad Boulevard/Arne Jacobsens AllÃ©;AG50;Sep 2, 2025 1:01:32 PM;ON / Control;PL04/Calendar;
attention;Detector error;50.02;EC-2 Nordic;;Arne Jacobsens AllÃ©/Ove Arups Vej/Edvard Thomsens Vej;AG50;Sep 2, 2025 1:02:37 PM;ON / Control;PL05/Forced;
attention;Lamp error;50.03;EC-2 Nordic;;Center Boulevard/Arne Jacobsens AllÃ©;AG50;Sep 2, 2025 1:02:36 PM;ON / Control;PL03/Calendar;
attention;Detector error;50.04;EC-2 Nordic;;Ove Arups Vej/Fields Parkering;AG50;Sep 2, 2025 1:02:36 PM;ON / Control;PL01/Calendar;
attention;Lamp error;50.05;EC-2 Nordic;;Ã˜restad Boulevard/Hannemanns AllÃ©;AG50;Sep 2, 2025 12:59:50 PM;ON / Control;PL03/Calendar;
attention;Lamp error;50.06;EC-2 Nordic;;Ã˜restads Boulevard/Asger Jorns AllÃ©;AG50;Sep 2, 2025 12:58:04 PM;ON / Control;PL04/Calendar;
attention;Lamp error;50.07;EC-2 Nordic;;Ã˜restads Boulevard/C.F. MÃ¸llers AllÃ©;AG50;Sep 2, 2025 1:03:38 PM;ON / Control;PL03/Calendar;
attention;Detector error;50.08;EC-2 Nordic;;Ove Arups Vej/Ã˜resundsmotorvejen;AG50;Sep 2, 2025 1:04:05 PM;ON / Control;PL05/Calendar;
attention;Lamp error;50.09;EC-2 Nordic;;Hannemanns AllÃ©/Ove Arups Vej;50;Sep 2, 2025 12:47:14 PM;ON / Control;PL03/Calendar;EC-2 C-prio
attention;;50.10;EC-2 Nordic;;Center Boulevard /C.F. MÃ¶llers Alle;AG50;Sep 2, 2025 12:53:57 PM;ON / Control;PL05/Calendar;
informational;;50.11;EC-2 Nordic;;Ã˜restads Boulevard/Ejler Billes Alle;AG50;Sep 2, 2025 1:02:36 PM;ON / Control;PL04/Calendar;
attention;;50.12;EC-2 Nordic;;Asger Jorns AllÃ©/Robert Jacobsens Vej;AG50;Sep 2, 2025 1:06:15 PM;ON / Control;PL06/Calendar;
attention;Lamp error;50.13;EC-2 Nordic;;Ejler Billes Alle / Robert Jacobsens Vej;AG50;Sep 2, 2025 1:04:41 PM;ON / Control;PL06/Calendar;
attention;Lamp error;50.14;EC-2 Nordic;;Ejler Billes AllÃ©/Else Alfelts Vej;AG50;Sep 2, 2025 1:04:06 PM;ON / Control;PL02/Calendar;
healthy;;50.15;RSMP;;Otto Baches AllÃ© â€“ Kanalvej ;AG50;Sep 2, 2025 1:02:18 PM;ON / Control;PL04/Unknown;ITC-3/N
attention;;50.16;EC-2 Nordic;;Ã˜restads Boulevard/Martha Christensens Vej;AG50;Sep 2, 2025 1:05:45 PM;ON / Control;PL05/Calendar;
